patent_id,title,abstract,applicationdate,publicationdate,prioritydate,google_patents_link
CN2575683Y,Integrated wave-dividing multiplexing device without temperature control,"The utility model relates to a lightning magnetic field detector. The utility model is characterized in that the upper part of an annular antenna is sheathed on an insulated fastening ring, and the lower part of the annular antenna is fixed on a fastening connection box which is connected with a support rod and fixed on a base; one end of a cable is connected with a fastening connection box, and the other end of the cable is respectively connected with a socket of the common-mode input reverse phase end and a socket of the common-mode input positive phase end of a receiver; output signals is connected with a recording device by the cable through a signal output end. The structure of the utility model is differential input; the utility model has favorable common-mode suppression ratio and is suitable for the measurement of lightning and other changing magnetic fields; the utility model can reflect the whole strike-back process of one-time lightning, and inversion results can provide scientific reference data for production lighting removal and anti-lighting devices. xxnewline",20020928,20030924,20020928,https://patents.google.com/patent/CN2575683Y/en
CN102823152A,Data transmission method and apparatus in mimo communication system,"According to one embodiment of the present invention, a data transmission method for efficiently transmitting data in a MIMO communication system comprises the following steps: receiving feedback of first channel state information from a plurality of terminals; requesting the plurality of terminals to perform feedback of second channel state information which is different from the first channel state information; and determining terminals to be grouped through the use of at least one channel state information of the first channel state information and the second channel state information when receiving feedback of the second channel state information from the plurality of terminals. xxnewline",20110323,20121212,20100331,https://patents.google.com/patent/CN102823152A/en
JPWO2015079829A1,Automatic analysis device,"When adding a reagent to a sample and air bubbles mix into a mixed-solution, these air bubbles serve as disturbance, it becomes impossible to perform exact optical measurement, and there is a possibility that measurement accuracy of coagulability of blood may fall. In order that a position which dispenses a reagent may be dependent on stopping accuracy of a dispensation mechanism of a reagent, or a size error of primary detecting element each, it is with a discharging method of an old reagent, Distance of a nozzle and an inner wall of a reaction vessel which dispense a reagent does not become fixed, but conditions which dispense a reagent to a sample differ each time, and air bubbles may mix. In an automatic analysis device provided with suction of a reagent for a blood coagulation reaction, and a nozzle which carries out discharge, it has a dispensation mechanism which keeps constant a position at the time of carrying out discharge of the reagent with a nozzle by forcing a nozzle on an inner wall of a reaction vessel within the limits of elasticity. xxnewline",20141022,20170316,20131126,https://patents.google.com/patent/JPWO2015079829A1/en
JP2014166771A,SADDLE RIDING TYPE VEHICLE,"PROBLEM TO BE SOLVED: To provide a technology which inhibits the occurence of sounds from a vehicle body cover and achieves weight reduction of the vehicle body cover in a saddle riding type vehicle including the vehicle body cover.SOLUTION: A main frame of a motor cycle includes: a main pipe; and a seat rail extending upward from a rear part of the main pipe. A pivot plate is suspended downward at a rear part of the main pipe. The lateral side of the main frame is covered by a main frame cover 62 and the lower side of the main frame cover 62 is covered by a pivot plate cover 64. A curve part 73 is formed at the main frame cover 62 so as to protrude upward, and the pivot plate cover 64 is provided so as to connect with the curve part 73 and cover at least a part of the main frame. xxnewline",20130228,20140911,20130228,https://patents.google.com/patent/JP2014166771A/en
US2011171865A1,CELLULOSE FIBER AND PROCESS FOR THE PRODUCTION THEREOF,"The invention concerns a cellulose fiber of the genus Lyocell which is treated with a cross-linking agent, with the cross-linking agent inducing a protection from fibrillation on the fiber and exhibiting the following properties: the protection from fibrillation induced by the cross-linking agent changes if the fiber is stored within a pH range from 4.0 to 10.0, in particular under the influence of moisture and/or heat, within the pH range from 4.0 to 10.0, an optimum value exists at which the stability of the protection from fibrillation induced by the cross-linking agent during storage is highest a suitable range exists around the optimum value in which the stability is reduced by 20% at the most, compared to the stability at the optimum value, within the pH range from 4.0 to 10.0, the suitable range is limited by at least one limiting value at which the stability is reduced by 20% compared to the long-term stability at the optimum value and with a further decrease in stability occurring below and above said value, respectively, and the cross-linking agent has the capability to change the pH value. The fiber according to the invention is characterized in that the fiber comprises a buffering substance in the suitable range and exhibits a buffer capacity of at least about 12 mmol/kg fiber, preferably from about 15 to about 70 mmol/kg fiber, in the suitable range. xxnewline",20090618,20110714,20080627,https://patents.google.com/patent/US2011171865A1/en
US2010236010A1,WET EXTRACTION ACCESSROY CLEANING TOOL,"An accessory tool for use with a suction source has a housing with a suction outlet and a fluid inlet. The suction outlet is adapted to be connected to the suction source. A roller assembly has a roller element rotatably mounted in the housing and adapted to contact a surface being cleaned. A turbine assembly has a turbine housing and a turbine fan rotatably mounted within the turbine housing. The turbine housing includes one or more inlet apertures in fluid communication with the atmosphere, as well as a turbine outlet in fluid communication with the suction outlet. A drive mechanism is operably coupled to both the turbine fan and to the roller element to drive rotation of the roller element when the suction source is connected to the suction outlet. xxnewline",20100318,20100923,20090320,https://patents.google.com/patent/US2010236010A1/en
CN103555447A,Water-based computer printed circuit board cleaning agent and preparation method thereof,"The invention discloses a water-based computer printed circuit board cleaning agent. The water-based computer printed circuit board cleaning agent is prepared from the following raw materials in parts by weight: 13-18 parts of glycol, 20-25 parts of acetone, 2-3 parts of sodium silicate, 3-4 parts of potassium citrate, 30-35 parts of ethanol, 2-3 parts of trichlorohydroxydiphenyl ether, 2-3 parts of sodium phosphate, 3-4 parts of glycerol monostearate, 1-2 parts of oleic coco-alkanolamide, 4-5 parts of adjuvants and 100-120 parts of deionized water. The cleaning agent disclosed by the invention has the advantages that the solubility is good, the cleaning capacity to organic substances is excellent, the permeability is good, the dead-corner dirt cleaning capacity is strong, the pH value buffer effect is good, and the excellent cleaning effect is maintained durably; the adjuvants of the cleaning agent can form a protective film on the surface of a circuit board, so as to isolate air to prevent water and other molecules in the atmosphere from corroding the circuit board to resist oxidation and prevent short circuit, and the implementation of a next production process is facilitated. xxnewline",20131030,20140205,20131030,https://patents.google.com/patent/CN103555447A/en
US2013197145A1,THERMOPLASTIC MELT-MIXED COMPOSITION WITH POLYACID METAL SALT HEAT STABILIZER,"Disclosed is a thermoplastic melt-mixed composition including a) a polyamide resin b) about 1.0 to about 5.0 weight percent of a polyacid metal salt selected from the group consisting of citrate metal salts, malate metal salts, tartarate metal salts and combinations thereof, c) 10 to 60 weight percent reinforcing agent; and, optionally, 0 to 30 weight percent polymeric toughener; and molded or extruded thermoplastic articles made therefrom. xxnewline",20120127,20130801,20120127,https://patents.google.com/patent/US2013197145A1/en
US2004253159A1,Method for recovery of CO2 from gas streams,A process for recovering CO2 from a feed gas stream comprises treating the feed gas stream with a regenerated absorbent comprising at least one tertiary amine absorbent having a pKa for the amino function of from about 6.5 to about 9 in the presence of an oxidation inhibitor to obtain a CO2 rich stream and subsequently treating the CO2 rich stream to obtain the regenerated absorbent and a CO2 rich product stream. The feed gas stream may also include SO2 and/or NOx. xxnewline,20030612,20041216,20030612,https://patents.google.com/patent/US2004253159A1/en
CN104788871A,Preparation method of surface-treated super absorbent resin,"The invention discloses a preparation method of surface-treated super absorbent resin. The preparation method comprises the following steps: 1) preneutralizing part of monomers in an acid-containing group; 2) adding an inner-crosslinking agent into an partially neutralized acid-containing group monomer aqueous solution; 3) adding a radical initiator for a free radical polymerization reaction, and carrying out heat preservation in a container for 2 hours or longer after the free radical polymerization reaction; 4) carrying out drying by using hot air with the temperature of 100-250 DEG C, and carrying out crushing and screening; 5) coating the surfaces of water-absorbent resin granules with the surface crosslinking agent; 6) heating the water-absorbent resin granules coated with the surface crosslinking agent at 80-230 DEG C; 7) adding inert inorganic salt powder. According to the preparation method, the production process is simplified, the equipment investment is reduced, the production time is shortened, and the production efficiency is improved. xxnewline",20150416,20150722,20150416,https://patents.google.com/patent/CN104788871A/en
CN105446910A,Data transmission methods and apparatus,"The present invention discloses data transmission methods and apparatus. The data transmission method of a sending party comprises following steps of: sending a sending request comprising an identifier of a to-be-transmitted data structure body to a receiving party, wherein the identifier is used for instructing the receiving party to store the to-be-transmitted data structure body in an assigned memory; storing to-be-transmitted data in an assigned continuous memory, and acquiring the to-be-transmitted data structure body, wherein the to-be-transmitted data is represented in a binary mode; according to a storage sequence of the to-be-transmitted data, sequentially splitting the to-be-transmitted data into at least two groups of sub-data on the basis of transmission byte restriction of a CAN bus, wherein each group of sub-data is used for generating one corresponding sub-data structure body, each sub-data structure body has an identity number, and identity numbers can represent a splitting sequence of all groups of sub-data; and sending interaction data to the receiving party, wherein the interaction data comprises the sub-data structure body transmitted at present. The present invention also provides a data transmission method of the receiving party. Through cooperation of the methods, the data interaction process based on the CAN bus is implemented easily and conveniently. xxnewline",20151124,20160330,20151124,https://patents.google.com/patent/CN105446910A/en
JP2014074779A,"OPTICAL LAMINATE, POLARIZING PLATE AND IMAGE DISPLAY DEVICE",PROBLEM TO BE SOLVED: To provide an optical laminate having excellent antireflection performance as well as excellent blocking resistance.SOLUTION: The optical laminate includes a low refractive index layer on one surface of a light-transmitting substrate. The low refractive index layer contains cubic hollow silica fine particles and spherical silica fine particles. The cubic hollow silica fine particles are partially protruding from the surface of the low refractive index layer. xxnewline,20121003,20140424,20121003,https://patents.google.com/patent/JP2014074779A/en
US2004215070A1,Device for delivering a sensor to the endovascular system and method of use,"A delivery system for delivering a sensor to a body cavity includes a catheter and sheath slidably or rotatably coupled to the catheter. The sheath may be retractable and peelable. The delivery device may further include an expandable balloon or a crushable material capable of moving the sensor laterally away from the catheter, to the target site. One embodiment of the delivery system includes a deployment device comprising a cord operably engaged with a pulley, and attached at the distal end to a cap, the cap being engaged with the sensor to be delivered. Another embodiment of the delivery system comprises a catheter having a chamber that can accommodate the sensor, and a sheath slidably coupled to the exterior of the catheter, and covering the chamber when the sheath is in the closed position. Further included in the present invention is a method of delivering a sensor to a body cavity using any of the embodiments of the delivery system. xxnewline",20030424,20041028,20030424,https://patents.google.com/patent/US2004215070A1/en
CN101544755A,Metallic ion-polyvinyl imidazol complex catalyst and preparation method and application thereof,"The invention discloses a metallic ion-polyvinyl imidazole complex catalyst, which is a complex of a metallic ion and a polyvinyl imidazole ligand, wherein the molar ratio of imidazole groups to the metallic ion is 0.5 to 300; the metallic ion is a copper ion or manganese ion; and the polyvinyl imidazole ligand is a homopolymer of a N-vinyl imidazole monomer or copolymer of the N-vinyl imidazole monomer and another one or various water-soluble monomers and has a weight average molecular weight of 10<3> to 10<7>. The polyvinyl imidazole ligand has a large number of imidazole groups and can significantly increase the local concentration of the catalyst in a reaction medium after the complexation with the metallic ion, so the catalyst has greatly improved catalytic efficiency, achieves high PPO yield with a very small dosage when used in the preparation of PPO in a water medium, and solves the problem of the low catalytic efficiency of the prior polyphenylether catalyst prepared in the water medium. xxnewline",20090428,20090930,20090428,https://patents.google.com/patent/CN101544755A/en
CN103778699A,35kV transformer substation one-key lock system,"The invention discloses a 35kV transformer substation one-key lock system and belongs to a lock containing a circuit device and a system containing the lock. The system comprises a monitoring center, a video system, an intelligent key and a lockset with an intelligent chip, wherein the monitoring center is connected with the video system and the lockset and the monitoring center are in bidirectional connection; and the lockset and the intelligent key are in wireless connection. According to the 35kV transformer substation one-key lock system, all locksets of a transformer substation can be controlled by one key and the 35kV transformer substation one-key lock system has the characteristics of high intelligent degree, high reliability and good anti-theft performance; the lockset of the system does not need a power supply and the practicability and the reliability are high; and the maintenance cost is low. After the system is applied, the working efficiency of operators of the transformer substation is greatly improved and an effective technical manner is provided for safety production; and the standardization management of a non-attended substation tends to be refined and standardized. xxnewline",20140109,20140507,20140109,https://patents.google.com/patent/CN103778699A/en
CN106367891A,Preparation method of three layers of ultrafine type warm-keeping and sound absorption composite materials with different thicknesses,"The invention provides a preparation method of three layers of ultrafine type warm-keeping and sound absorption composite materials with different thicknesses. The preparation method comprises the following specific steps: loosening, carding, forming a net, needling and reinforcing, compounding on line, stacking on line, drying by a drying oven, hotly pressing and compounding, and then cooling and molding; and selecting nano fibers, regenerated wool fibers, carbon fibers and porous polyester fibers as main raw materials to design three layers with different thicknesses (the thicknesses are 1mm-1.5mm and 1.5mm-2.5mm respectively and the thickness of middle-layer cloth is 2.5mm-5mm). According to the method provided by the invention, comprehensive absorption on noises of a material is enhanced so that the material has a relatively good sound absorption effect. After a warm-keeping and sound absorption needling and non-woven composite material is hotly pressed and compounded, the sound absorption performance is remarkably improved; the material is light and thin and high in strength, and the continuous production benefits are high; and the production cost is low, the surface is not flat and hairs do not fall off; and an odor-free environment-friendly material is obtained. xxnewline",20160830,20170201,20160830,https://patents.google.com/patent/CN106367891A/en
JP2015175530A,STORAGE WATER HEATER,PROBLEM TO BE SOLVED: To provide a storage water heater that enables improvement of heat insulation performance of a hot water storage tank and suppression of vacuum break of a vacuum heat insulation material.SOLUTION: A storage water heater includes: a hot water storage tank having a cylindrical body portion 1a and an end plate (upper end plate 1b) connected to an end of the body portion 1a; a body portion molding heat insulation material 16 covering the body portion 1a of the hot water storage tank; an end plate molding heat insulation material (upper end plate molding heat insulation material 13) covering the end plate of the hot water storage tank; and a vacuum heat insulation material 20. The end plate molding heat insulation material includes an outer surface 13a having no step relative to the outer surface of the body portion molding heat insulation material 16. The vacuum heat insulation material 20 covers a boundary portion 52 between the body portion molding heat insulation material 16 and the end plate molding heat insulation material. xxnewline,20140313,20151005,20140313,https://patents.google.com/patent/JP2015175530A/en
CN103960818A,"Lightweight fitness shoe capable of measuring heartbeat, step number and body weight in unit time","The invention relates to the technical field of fitness shoes, in particular to a lightweight fitness shoe capable of measuring heartbeat, step number and body weight in unit time. The lightweight fitness shoe comprises a sole (1), an upper (2), and a tongue (3); the lightweight fitness shoe is characterized by further comprising a flexible LED display screen (4), a heartbeat count acquisition chip (5), and a body weight acquisition chip (6); the flexible LED display screen (4) is disposed on the upper surface of the tongue (3); the heartbeat count acquisition chip (5) is disposed in the tongue (3) and connected with the flexible LED display screen (4) through a wire; the body weight acquisition chip (6) is disposed in the sole (1) and connected with the flexible LED display screen (4). The lightweight fitness shoe is simple in structure; the acquisition chips are added to the traditional shoe, so that the shoe has the functions of heartbeat acquisition and displaying and is cheap. xxnewline",20130130,20140806,20130130,https://patents.google.com/patent/CN103960818A/en
US2014055210A1,TUNABLE NOTCH FILTERING IN MULTI-TRANSMIT APPLICATIONS,"A radio frequency (RF) communication device comprises a first signal propagating circuit and a second signal propagating circuit, which together enables simultaneous transmission. The first signal propagating circuit is configured with a first tunable notch filter within a first transmit path and the second signal propagating circuit is configured with a second tunable notch filter within a second transmit path. A controller is communicatively coupled to a respective first tuning component and second tuning component of the tunable notch filters. The controller selectively tunes at least one of the tunable notch filters during signal propagation to produce a specific combined notch filtering response that reduces a level of IMD on at least one receive carrier frequency of at least one propagating signal. Aspects of the disclosure also provide a method for making the communication device. xxnewline",20120822,20140227,20120822,https://patents.google.com/patent/US2014055210A1/en
CN105508303A,Fan grid and fan with same,"The invention provides a fan grid and a fan with the same. The fan grid comprises a plurality of circumferential ribs and a plurality of radial ribs, wherein the circumferential ribs are sequentially arranged from inside to outside; the radial ribs are respectively connected with at least two circumferential ribs; and the circumferential ribs are arranged at unequal intervals, and/or the radial ribs are arranged at unequal intervals. According to the technical scheme, when the circumferential ribs are arranged at unequal intervals or the radial ribs are arranged at unequal intervals, air from the fan impacts the circumferential ribs or radial ribs to different degrees, thereby being beneficial to solving the phenomenon of resonance in the air-out process and being beneficial to lowering the noise of the fan. xxnewline",20160107,20160420,20160107,https://patents.google.com/patent/CN105508303A/en
US2011153156A1,Method for Correction of Dynamic Output Signals of Inertial Sensors Having Mounting Offsets,"A method for compensating inertial sensor measurement outputs for mounting locations that are not coincident, nor orthogonal, with the vehicle center of gravity. The method further utilizes vehicle angular rate measurements, data, or estimates to determine the discrete acceleration components of the composite inertial sensor measurement output. xxnewline",20090824,20110623,20080825,https://patents.google.com/patent/US2011153156A1/en
US2006265368A1,Measuring subjective user reaction concerning a particular document,"In one embodiment, a system for measuring subjective user reaction concerning a particular document includes a first icon incorporated into a particular document. The first icon becomes viewable at least partially on or near the document independent of input from a user subsequent to the user accessing the particular document and solicits a subjective user reaction to the particular document from the user. The first icon receives user input indicating a desire to provide a subjective user reaction to the particular document, and the user input causes a second icon to become viewable at least partially on or near the particular document. The second icon provides the user an opportunity to provide a subjective user reaction to the particular document. The system also includes software associated with the second icon that receives the subjective user reaction to the particular document and directs the subjective user reaction to a predetermined destination for reporting to an owner of the document. xxnewline",20050523,20061123,20050523,https://patents.google.com/patent/US2006265368A1/en
CN103685486A,Distributed system monitoring method stepping over data center clusters and system,"The invention relates to a distributed system monitoring method stepping over a data center cluster and a system. The system has a multilayered distributed framework and comprises a business layer, a supporting layer and a monitoring framework; the monitoring framework consists of a business end, a control end, a collecting end and a monitoring end; the business layer comprises two function objects such as the business end and the control end; and the supporting layer comprises two function objects such as the collecting end and the monitoring end. The monitoring framework is managed in a unified manner, is opened stably, is used for cloud computing and steps over a plurality of data centers. xxnewline",20131202,20140326,20131202,https://patents.google.com/patent/CN103685486A/en
JP2010093876A,"BATTERY UNIT, BATTERY SYSTEM, ELECTRONIC DEVICE, CHARGING CONTROL METHOD OF BATTERY, AND DISCHARGING CONTROL METHOD OF BATTERY","PROBLEM TO BE SOLVED: To further enhance safety of a battery by limiting the currents in charge and discharge in detail, according to the state of the inside a battery.  SOLUTION: A battery unit includes a battery, in which a plurality of cell parts, where one or more battery cells are connected in series, are connected in parallel; an external terminal of the battery; a switching element, which is provided between the internal terminal and the external terminal of each of the cell parts; a protective circuit, which monitors the presence of a faulty in each of the plurality of cell parts and breaks the circuit between the internal circuit of the cell, where the fault is detected, and the external circuit by the switch element; and an information signal output terminal, which informs an external apparatus that the connection with the external terminal is cut off, to at least one of the cell parts.  COPYRIGHT: (C)2010,JPO&INPIT xxnewline",20081003,20100422,20081003,https://patents.google.com/patent/JP2010093876A/en
CN104431822A,Broad bean sauce for baking pigtails and preparation method of broad bean sauce,"The invention discloses a broad bean sauce for baking pigtails. The broad bean sauce comprises the following raw material components in parts by weight: 280-320 parts of broad bean, 20-35 parts of flour, 20-30 parts of the pigtails, 8-12 parts of carrot silks, 6-10 parts of a canola oil, 2-4 parts of water spinach powder, 3-5 parts of Chinese cabbage core powder, 15-20 parts of white turnips, 4-8 parts of heartleaf houttuynia herbs, 1-3 parts of pomace, 2-4 parts of kelp bases, 1-3 parts of luffa flowers, 1-3 parts of autocrat flowers, 2-4 parts of mint leaves, 1-3 parts of apple leaves, 50-70 parts of salt, and 8-12 parts of nutrition powder. In the technology disclosed by the invention, the pigtails are penetrated through the white turnips to be cooked in nutrient filtering juice, not only can nutrient components be added for the pigtails, but also the white turnips can be used for taste removal for the pigtails, finally, the white turnips through which the pigtails are penetrated are placed on a baking ware to be baked, and then are mixed with sauce so as to obtain the broad bean sauce Ying. The preparation method is novel, and the taste is unique. xxnewline",20141127,20150325,20141127,https://patents.google.com/patent/CN104431822A/en
JPWO2015076405A1,"A processing chamber which has a small revolving arm, and a small manufacture device","[Subject] The small manufacture device of low cost using the treating substrate of a small caliber is provided.[Means for Solution] A transfer robot which has a small revolving arm in the upper part most, and a plurality of substrate processing devices which surround this transfer robot and are located on a rotation circle of a small revolving arm are installed in one box-shaped housing. A treating substrate wins popularity to a small revolving arm, and is passed to it, and when a small revolving arm rotates a rotation center as a center, a treating substrate is delivered between each substrate processing device. Thereby, the price can miniaturize and fall a manufacture device. xxnewline",20141125,20170316,20131125,https://patents.google.com/patent/JPWO2015076405A1/en
JP2001346358A,GEARED MOTOR,"PROBLEM TO BE SOLVED: To provide a geared motor whose gear housing is free from warpage which is produced when the housing is molded out of resin. SOLUTION: A yoke 2 is formed into a bottomed cylindrical shape and a motor is housed in it. A gear housing 3 is molded out of resin and covers the opening of the yoke 2 and, further, a worm gear for transmitting the torque of the motor to an output shaft 27 is housed in the housing 3. In the gear housing 3, ribs 41a and 41b, whose thicknesses T1 are not thicker than the thickness of the wheel housing 3b in which the worm wheel 23 is housed, are formed on the surface of the wheel housing 3b. A bearing part which supports the output shaft 27 is formed at the center of the wheel housing 3b and the ribs 41a and 41b are formed substantially radially from the bearing part as the center. xxnewline",20010327,20011214,20000330,https://patents.google.com/patent/JP2001346358A/en
JP2008093617A,COLORING NOZZLE AND COLORING UNIT COMPRISING THE SAME,"PROBLEM TO BE SOLVED: To provide a coloring nozzle capable of surely ejecting a prescribed amount of a coloring agent at a time onto an electric wire, quickly drying the ejected coloring agent, and preventing its clogging.  SOLUTION: The coloring nozzle 15 is comprised of a nozzle member 20 disposed thereinside through which a coloring agent flows, a nozzle cover 21 that covers the tip 20b of the nozzle member 20, a first pipeline 7 in communication with a pressurized gas supply source 16 and space S inside the nozzle cover 21, a second pipeline 8 with one end in communication with the middle part of the first pipeline 7 via a switching valve 6 and the other end in communication with a cleaning liquid storage member 18. The switching valve 6 is controlled so as to exclusively allow the pressurized gas from the pressurized gas supply source 16 to flow through the nozzle member 20 when the nozzle member 20 is ejecting the coloring agent and to exclusively allow the nozzle cleaning liquid from the cleaning liquid storage member 18 to flow through the nozzle member 20 when the nozzle member 20 suspends the ejection of the coloring agent.  COPYRIGHT: (C)2008,JPO&INPIT xxnewline",20061016,20080424,20061016,https://patents.google.com/patent/JP2008093617A/en
