target_id,citation_id
JP2017162293A,JP2015060400A
JP2018020221A,JPH07284744A
CN103842670A,CN1310794C
CN104318641A,CN104050732A
JP2015151796A,JP2008175025A
CN106633350A,CN103275417A
US2017237174A1,US4005432A
CN102528726A,CN201231477Y
JP2015228955A,JPH11309A
JP2016082112A,JP2000077898A
JP2016069960A,JPH08268091A
JP2016124574A,JPH0892447A
US2015075037A1,US4365131A
US2011012654A1,US7480361B1
CN106534712A,CN102118608A
CN107001008A,CN103423338A
JPWO2016181435A1,JP2008290524A
CN103398396A,CN200979291Y
US2006110509A1,US5543163A
US2006201996A1,US2007184122A1
JP2017154703A,JP2001130348A
EP1661658A1,US6070813A
EP3104338A1,US2015066287A1
JP2014026267A,JP2011039397A
JP2015207471A,JP2013093240A
JP2016057085A,JP2002214345A
US2006144136A1,US6491421B2
JP2017077796A,JP2006103432A
CN104979047A,CN203118563U
CN105142098A,CN104185250A
CN105759297A,CN102307386A
CN103626553A,CN101627699A
JP2015033079A,JP2013055624A
US2009035920A1,US2006172508A1
CN106640109A,CN203362167U
US2008264675A1,US2006102384A1
US2010305985A1,US2006167792A1
CN103711521A,CN203067030U
CN102670842A,CN102380036A
EP0699586A1,WO9413451A1
JP2015040038A,JP2002264680A
US2016243914A1,US2006279031A1
CN106086679A,CN102953008A
JP2015171107A,JP2006013880A
JP2016184136A,JP2012027451A
US2005232871A1,WO9639408A1
US2010117969A1,US6922334B1
JP2017095805A,JP2011505592A
CN104969886A,CN104082209A
CN105564337A,CN101450637A
CN102626798A,CN201338104Y
JP2016039167A,JP2014135437A
CN104186948A,CN103798541A
CN102823152A,CN101496439A
JP2016521953A,JP2011147269A
US2010058696A1,US3760544A
JP2017531098A,JP2011511124A
CN103493300A,US2004224572A1
CN104197934A,CN103363988A
JP2016047125A,JP2012179348A
JP2016063729A,JP2007187281A
JP2016539690A,US2012275932A1
CN105086980A,CN102746841A
CN105669366A,CN102391125A
JP2015180907A,JP2006163298A
JP2015224054A,JP2007320617A
JP2015522619A,JPH0421681A
JP2017199935A,JP2004031707A
CN103840389A,CN101588026A
CN103167664A,CN101835312A
EP2471505A1,EP2161017A1
JP2015186205A,JPH11220469A
US2011020208A1,US2004253159A1
JP2017510441A,JP2001039493A
CN103797153A,JP2008280570A
CN104218854A,DE112007002616T5
CN102572506A,CN101637019A
CN102589335A,CN101225999A
EP2487476A1,US2007091979A1
JP2016147617A,JP2013169960A
JP2017500359A,JP2013542989A
US2004113667A1,US6150856A
US2007131857A1,US5841140A
US2009193883A1,US5111685A
JPWO2015050109A1,JP2011047765A
CN106526888A,CN103576337A
CN104861596A,CN102002220A
CN105705670A,US2005144982A1
CN104211658A,CN102070562A
JP2015175530A,JP2011163580A
JP2016035550A,JP2013076970A
JP2016184094A,JP2006008282A
CN105105285A,CN102409073A
CN102789945A,CN101661862A
EP1936137A1,EP1054139A1
JP2015105378A,JP2012031393A
JP2015128851A,JPH11301035A
JP2016167121A,JP2009277041A
CN106706442A,CN1566924A
JP2017189111A,JP2002233005A
EP3342832A1,US9278527B2
CN105126558A,CN101759158A
CN105146591A,CN103750403A
CN102542937A,CN1731476A
JP2015155530A,JP2011046917A
JP2016508627A,JP2011215472A
CN104838066A,CN102421961A
CN105841800A,CN201311321Y
CN103264234A,CN102825399A
EP2518564A1,WO2005026843A2
JP2016137849A,JP2014166771A
US2007052218A1,US2004150197A1
CN106358885A,CN104521645A
CN106314081A,CN202451445U
JP2015141784A,JP2009277674A
CN104520997A,WO2011089687A1
CN103434561A,CN202389447U
CN104298790A,CN102663012A
CN102586582A,CN201309955Y
EP2773071A1,EP2521328A2
CN107449306A,CN104676979A
CN105751610A,CN104499948A
CN105833823A,CN203955214U
CN106281407A,CN1952070A
CN103395485A,CN202703869U
CN104184819A,CN103685486A
CN102363579A,CN101236835A
JP2014083539A,JP2005507768A
JP2015089212A,JP2010156625A
JP2015141274A,JP2008185891A
US2008178836A1,US2005022755A1
JP6430618B1,JP2017168419A
CN102732021A,CN102115595A
CN102775746A,CN101495556A
CN102789114A,CN1474169A
JP2015124835A,JP2006308082A
JP2016121818A,JP2004361047A
US2019025390A1,US2013088226A1
CN105698320A,CN205037475U
CN102410032A,CN201627594U
CN102747595A,CN102182053A
EP2833256A1,US2005113941A1
JP2016044559A,JP2004343914A
US2009125533A1,US2002099852A1
US2009203566A1,US6492308B1
US2018139980A1,US2014242239A1
CN102223854A,US2002072650A1
CN105036974A,CN102050644A
CN103922932A,WO2009118086A1
JP2016022111A,JP2011147560A
JP2016038948A,JP2013161680A
US2015044473A1,US2012171497A1
JP2017024956A,JP2012076978A
CN104809418A,CN101571895A
CN105331874A,CN102912213A
CN103595893A,CN101635777A
CN103974007A,CN102420952A
EP1864771A1,US6039096A
EP2315148A1,US2007100282A1
US2004033084A1,US6519426B2
US2007182377A1,US2004251874A1
US2008119985A1,US7184862B2
US2011153156A1,US7085642B2
JPWO2015011846A1,WO2013011732A1
CN106963292A,CN1720852A
CN107025866A,CN203982727U
JP2018009954A,WO2015053290A1
CN105458412A,US2005000072A1
CN105545435A,CN102652256A
CN103803430A,CN203359857U
CN102359506A,CN201575078U
CN102658637A,CN201456375U
JP2016027229A,JP2011099274A
JP2016034972A,JP2001199807A
US2019129703A1,US2012159468A1
CN105550922A,CN105030112A
EP0670299A1,US4562096A
JP2014113212A,JP2009077765A
JP2016108036A,JP2002120838A
JP2016161189A,JP2011007340A
US2006272874A1,US5297645A
US2010100480A1,US6609113B1
CN105292505A,CN204368424U
CN105807383A,CN202916474U
CN103205627A,CN102876969A
JP2015152349A,JP2006253888A
JP2015202203A,JP3155850U
JP2015195118A,JP2006012632A
JP2016129272A,EP2458825A1
JP2017100938A,JP2005240171A
CN105402032A,US2004129102A1
US2014045344A1,US2009169758A1
CN102231659A,CN101964696A
CN104790890A,CN102140898A
CN105045545A,CN101770351A
CN102891933A,CN101808152A
EP2940319A1,US2008104955A1
JP2015106572A,JP2007051363A
JP2017014105A,JP2012136388A
US2016354144A1,US2014371736A1
CN106460177A,CN102471889A
CN105698491A,CN202041049U
CN108519966A,CN105608064A
JP2015168666A,JP2012001512A
JP2016103158A,JP2006252350A
CN106709306A,CN105825114A
CN105537419A,CN103817231A
CN105600335A,CN103787087A
CN103342841A,CN101847473A
CN102626377A,CN1633962A
JP2015172220A,JP2010222672A
JP2016192840A,JP2007282471A
US2013088352A1,US2010283609A1
JP2017193511A,JP2010047573A
CN101921157A,CN101434502A
CN105684216A,KR101246576B1
JP2016097957A,US2013154285A1
CN102683966A,CN101320863A
CN103106810A,CN101937619A
CN103093934A,CN101692386A
JP2016187162A,JP2012169723A
JP2017059827A,JP2015159286A
JP2014219593A,JP2002235733A
US2012285190A1,WO2009131072A1
JP2017059886A,WO2015064212A1
CN105959719A,CN105430424A
CN102984032A,CN1614939A
CN106479719A,CN102453623A
CN106702973A,CN202989879U
JP2018048323A,JP2008050410A
CN104863729A,CN103590917A
CN104309960A,CN102212261A
JP2017072113A,JP2009057927A
CN106188979A,CN105837998A
JP2015125363A,JP2011059396A
JP2016021984A,JP2005213449A
US2017121086A1,US2011038569A1
CN106242714A,CN105347966A
JP2015193802A,JP2010046920A
JP2016035368A,JPH1192848A
US2013300242A1,WO2009101710A1
CN104874212A,CN102284200A
CN104231935A,CN100999179A
JP2016018224A,JP2011028466A
US2013252920A1,US2012071434A1
CN105185110A,CN204117361U
EP1835627A1,EP1091497A1
JP2016206387A,JP2014235394A
US2005128750A1,US2003042857A1
US2018073929A1,US2017284869A1
JP2015042926A,JP2012251724A
JP2015135772A,JP2012138343A
JP2015152585A,JP2009294115A
JPWO2015025797A1,JPH08300452A
JP2017538730A,JP2010533158A
CN105083957A,CN102971240A
CN105210118A,US2008060652A1
CN106052836A,CN102455238A
CN104041243A,CN201571348U
JP2014218658A,JP2012008529A
JP2015175638A,JP2003114247A
JP2016188141A,JP2010030728A
US2006188735A1,US6593417B1
US2010270867A1,US2005068019A1
US2012018641A1,US2009189761A1
CN105672199A,CN102995602A
JP2016103000A,JP2012141388A
CN104772178A,CN101905179A
CN105507356A,CN204343303U
CN105543050A,CN103865702A
CN103700561A,CN102768928A
CN103002013A,CN1681270A
JP2014196845A,JP2012251724A
JP2015002770A,JP2004097610A
JP2016162692A,JP2002329600A
US2010002884A1,US2002110245A1
US2010091371A1,JP2005242340A
JP2017192403A,JP2015500020A
CN103956606A,CN103337736A
CN103261618A,JP2002174120A
US2007051524A1,US2004026111A1
US2008184598A1,US5309651A
JPWO2015037034A1,JP2006157900A
CN103625049A,CN102615904A
CN103315958A,CN101822638A
JP2015092475A,JP2010086664A
JP2015206852A,JP2013101328A
CN104802416A,CN102225622A
CN105949249A,CN104825538A
CN103609803A,CN103039657A
CN102622062A,CN201294709Y
CN102635708A,CN2747429Y
US2014266737A1,US2006199659A1
US2012259348A1,US6596002B2
CN106586778A,CN1064847A
CN102193382A,US7415227B2
CN104209414A,CN103736850A
CN102670872A,CN101953925A
CN102826586A,CN101125677A
EP2518564A1,JP2002353105A
JP2013257878A,US2011282785A1
JP2015072415A,JP2013008031A
US2016215268A1,US2014186953A1
JP2017154103A,JP2014226596A
CN104832419A,CN102536776A
JP2016004501A,JP2012088807A
US2013238329A1,US2010088095A1
JP2017144556A,JPH11170194A
JP2017170134A,JP2011120866A
US2017349147A1,US9880382B1
CN107639387A,CN103567282A
CN105040817A,CN102758499A
CN105283596A,CN102918193A
CN103447468A,CN202984597U
EP1457999A1,EP1262450A1
JP2016158171A,JP2002176504A
JPWO2016051681A1,JP2006350064A
CN105898315A,CN102273205A
EP3113134A1,US2013243208A1
US2007045175A1,US5294338A
US2011155871A1,US7656653B2
CN103046421A,EP1760192A1
CN104761385A,CN102795931A
CN105591427A,CN203166463U
CN105979346A,CN104244033A
CN103372377A,CN101229486A
JP2016193147A,WO2014171448A1
JPWO2016136952A1,JP2014531196A
JPWO2017099095A1,JP2008034794A
CN103014205A,CN102409122A
JP2016141008A,JP2014177094A
US2011171865A1,US5662858A
CN105839485A,CN103614997A
CN103539811A,CN101718927A
CN103862896A,CN202174818U
JP2016107650A,JPH10136508A
JP2016194160A,WO2009111842A1
US2014281610A1,US2009222654A1
CN102932259A,CN102318287A
JP2015214537A,JP2004217675A
JPWO2016147484A1,JP2012221755A
CN106064342A,CN105150065A
CN103386027A,CN101700361A
CN104207185A,CN103750380A
EP0645140A1,EP0514008A1
JP2015218261A,WO2013089100A1
JP2016054604A,JP2013189161A
JP2017501046A,US2010241085A1
US2011002392A1,US2010266042A1
JPWO2015011846A1,JP2004243151A
CN105597878A,CN203379927U
CN104167579A,CN201336343Y
CN102971108A,JP2003048083A
US2008004841A1,JP2005038223A
US2010314670A1,US2007187781A1
CN104772233A,CN103567191A
CN103515840A,CN102738702A
EP3023060A1,EP1875868A1
JP2015114973A,JP2004013257A
US2009306348A1,US2008286280A1
CN102184961A,CN101452956A
EP1837167A1,EP1527870A2
JP2016113985A,JP2014105603A
US2005190072A1,US5671362A
US2008207357A1,US2007129178A1
CN104458521A,CN101393108A
CN104656384A,CN101320215A
CN104957984A,CN103110348A
CN103775182A,CN1517521A
CN103298049A,CN1665342A
US2009306348A1,US2003113316A1
US2010061563A1,WO2004002383A1
US2011158941A1,US7585647B2
US2011291417A1,US4141670A
JPWO2015182677A1,JP2011109547A
JPWO2016079922A1,JP2013249516A
EP3188121A1,US4956706A
CN104483025A,CN202485671U
CN105325012A,CN102144405A
CN105898315A,CN101998117A
CN106119889A,CN204873955U
JP2015090392A,JP2012098991A
JP2015142050A,JP2007242913A
JP2015227934A,WO2012096400A1
JP2016158320A,JP2013207843A
JPWO2015020080A1,JP2010530350A
JP2018108395A,JP2014524064A
US2019236900A1,US2002183105A1
CN104878414A,CN1676671A
CN104431822A,CN103876119A
EP2752940A1,EP1376756A2
JP2014236516A,JP2013085246A
JP2015179819A,JP2007227546A
US2008264399A1,US4936282A
US2008283476A1,US6273938B1
CN106407781A,CN105740682A
JP2017156398A,JP2015075684A
CN105517620A,WO2012154946A1
CN102677313A,CN102242441A
CN103247816A,CN102119461A
JP2016071729A,JP2013054715A
US2012171943A1,US7581408B2
CN105060854A,CN103819176A
CN103584417A,CN202774540U
CN103068961A,US2008086938A1
CN103282051A,WO2010021300A1
US2010228260A1,US2006293694A1
JP2015106287A,JP2004213332A
CN104738123A,CN101536704A
CN102400527A,CN1584237A
CN102855827A,CN102290506A
JP2016163112A,JP2013255131A
CN105921688A,CN102974752A
CN103453503A,CN101761647A
US2012303097A1,US6190305B1
US2013015811A1,US5600225A
JPWO2016104494A1,JP2006299395A
JP2018032042A,JP2001318374A
CN104824475A,CN104489372A
CN103628738A,CN103382789A
CN104131319A,CN103361694A
CN102340541A,CN101860853A
CN103226772A,CN102810194A
JP2015040978A,JP2007272095A
JP2015070863A,JP2009247615A
JP2015147734A,JP2013224268A
JP2015231780A,JPH09123722A
CN103588170A,CN102491272A
CN102832175A,CN102280387A
CN102997848A,CN202066479U
CN103150915A,CN201540650U
JP2015211423A,JP2012096434A
JP2016041038A,JP2011217638A
CN105587624A,CN201162655Y
CN105921688A,CN101642796A
CN104407525A,CN203787951U
US2016220072A1,US2016045076A1
JPWO2017069246A1,JP2006034845A
CN102392968A,EP2320487A2
CN102600678A,CN1647847A
JP2015142083A,JP2013122952A
JP2016158577A,JP2015039342A
US2009250195A1,US2004188066A1
US2016141919A1,US2010244578A1
US2012028528A1,US6923925B2
CN105181766A,CN204106017U
CN103853143A,CN103064365A
CN104106199A,JP2006254562A
CN102940203A,JPH08196226A
EP3075244A1,JP2014161300A
JP2016047875A,JP2014514231A
JP2018100975A,JP2017138321A
CN103388235A,CN102273869A
CN103602587A,CN2786129Y
EP1610403A1,EP0587973A1
EP2168666A1,EP0550798A1
JP2016521139A,JP2010527677A
JP2016204135A,JP2000062932A
JP2016530251A,JP2003513119A
CN104806269A,CN202181901U
CN104065336A,CN102355165A
EP2963023A1,US5861406A
US2006228794A1,US6050935A
CN107419118A,CN106282615A
CN104862038A,CN103725377A
CN105415369A,CN104440944A
CN103515840A,US2010322269A1
EP2965799A1,US2008127824A1
JP2014209330A,JP2012084118A
JP2015169909A,JP2012181362A
JP2015227934A,JP2014074779A
US2014226164A1,US2005270544A1
CN101678247A,US5707530A
EP2443975A1,US5624025A
EP2469223A1,US2004174542A1
US2005249938A1,US2001030179A1
US2010001085A1,US7445161B2
CN106450922A,CN201018043Y
US2017353171A1,US2011187422A1
CN106086394A,CN105567998A
CN103114636A,CN101205733A
JP2015160033A,JP2012147832A
US2017196282A1,US6460187B1
CN104890479A,CN202716706U
EP0770890A1,US5048913A
JP2016058558A,JP2013254924A
US2013224444A1,US7651021B2
JP2017078594A,JP2014063893A
CN104449756A,CN102515959A
CN102562282A,CN1066318A
JP2016509621A,JP2012222248A
CN105886976A,CN104046933A
EP1126070A1,EP0414462A2
JP2015133428A,JP2006147687A
JP2016200338A,JP2012172938A
US2007011687A1,US6629152B2
US2009213717A1,US2006018214A1
US2014265399A1,US2013026773A1
CN105314735A,CN101182070A
CN106168514A,CN103221795A
CN103411646A,CN1836784A
CN103904008A,CN103646904A
CN102721576A,CN201331450Y
JP2015129817A,JP2006072284A
US2011154272A1,US6982793B1
US2012241848A1,US2012061747A1
CN106588036A,CN103420668A
JP2018003332A,JP2002317552A
CN105371754A,CN104697443A
CN103050020A,CN102340738A
JP2015106287A,JPH11166818A
JP2015107075A,JPH10139683A
JP2016015905A,JP2014027913A
JP2016144969A,JP2013114603A
US2009014025A1,US5322077A
JP2017205381A,JP2009289251A
JP2016083716A,JP2011194496A
US2010053606A1,US6975891B2
US2011011588A1,US3735827A
CN104565022A,CN102414465A
CN103153529A,JP2009106949A
EP1911373A1,US2005146180A1
JP2015170227A,JP2008059182A
JP2015217664A,JP2006192701A
JP2016218981A,JP2015072607A
US2015288361A1,WO2009130165A2
US2018236958A1,US9673517B2
CN104488872A,CN103281900A
JP2014090720A,US2011120481A1
JP2016061043A,JP2013067953A
JP2016119260A,JP2008270154A
US2005234143A1,US6403222B1
US2016114722A1,US2010156621A1
JPWO2015141064A1,JP2008069028A
JP2017168702A,JP2008294087A
CN102815737A,CN101671048A
JP2016183368A,JPH08269584A
US2011046817A1,US2004193334A1
CN105282669A,CN201260241Y
CN105922465A,CN101979230A
CN104348678A,CN102739448A
JP2016147781A,JP2012140285A
JP2018168928A,JP2016217479A
CN106003737A,CN204414607U
CN103343784A,CN103075432A
CN103694141A,CN1749241A
CN102471963A,CN1206758A
JP2015203344A,JP2004156498A
JP2016046963A,JP2009238634A
JP2016198035A,JP2014198079A
JP2016198154A,JP2004092671A
JP2017522741A,JPH0883799A
CN105093456A,CN202362506U
CN105599892A,CN202449205U
CN103575095A,CN201653120U
CN102920740A,CN1927230A
EP2298302A1,US5804215A
JP2014236232A,JP2012109741A
JP2015197652A,JP2012181442A
US2014329751A1,US7115556B2
CN105780425A,CN103486876A
CN104182360A,CN101534213A
EP0629777A1,EP0478099A2
JP2016182366A,JP2009061063A
US2006010429A1,US2005160321A1
US2009144925A1,US6516469B1
US2014130890A1,US2006080991A1
US2019221597A1,US2016111463A1
CN101892815A,CN2806752Y
CN105235188A,CN2690140Y
CN104254921A,CN101558481A
CN104397988A,CN203662235U
CN106995011A,US2013241233A1
CN104211048A,WO2012083533A1
CN102732234A,CN101148579A
CN102956224A,JPH0981141A
JP2016061249A,US2013167951A1
JP2017158922A,JP2011067328A
EP3299426A1,JP2007238798A
CN105225461A,CN104607349A
CN103875070A,CN101729037A
CN104363932A,US2010305524A1
CN102459671A,US5455003A
CN102604236A,CN102367308A
JP2015063651A,JP2010215730A
CN105993852A,CN205071815U
CN102619628A,CN1821561A
JP2015063858A,JP2006349295A
JP2015203631A,JP2013007688A
JP2016055691A,JP2006284458A
US2014131879A1,US2010012981A1
JP2017217834A,JP2014051018A
CN102055910A,US2008199170A1
CN105331073A,CN103450624A
CN102432799A,US6242555B1
EP2209125A1,EP0537615A1
US2007204114A1,US6862292B1
US2010149803A1,US7237927B2
CN104628887A,CN102978260A
CN106068246A,CN102040334A
CN103871791A,CN202111023U
EP2039768A1,WO9518819A1
JP2015044405A,JP2012207202A
JP2015206647A,JP2006220567A
US2010033970A1,US6004007A
US2015166297A1,US4354793A
JP2017082249A,JP2002322267A
JP2018151843A,JP2016018538A
CN101638199A,CN201071232Y
CN104918715A,CN1853961A
CN104975720A,CN102797314A
CN105494442A,CN104944537A
CN105948610A,CN104396610A
CN102686192A,CN1758889A
EP1672261A1,EP1418373A2
EP2189090A1,US5901637A
EP3127891A1,US5352264A
CN106444987A,CN102446428A
CN103278623A,CN102809651A
EP1731064A1,EP1302141A1
EP2314243A1,US2005203504A1
JP2016516196A,US2012262550A1
JP2018021472A,JP2016079856A
US2018106109A1,US6799660B1
JP2015099899A,JP2012164785A
JP2015125278A,JPH0816072A
JP2016203766A,JP2014513265A
US2005236192A1,US6923283B2
US2007196258A1,US2007131589A1
JP2017031411A,JP2010503733A
CN104541144A,US7899608B1
CN106103641A,US2013207023A1
CN103423543A,CN102853196A
CN102515740A,CN101531507A
JP2014194387A,JP2007247280A
JP2016522465A,JP2005342873A
JPWO2016063697A1,JP2014177883A
CN102494218A,CN201531699U
CN102703271A,CN101589798A
CN103170389A,CN202638462U
JPWO2016035111A1,JP2010233895A
JP2017140409A,JP2011518648A
EP3376182A1,EP3043156A1
CN105707107A,CN101485329A
CN103538478A,CN103318025A
CN104112258A,CN102186089A
CN102380037A,CN101961416A
CN102897085A,CN1347820A
CN103105042A,CN102393136A
EP0672599A1,US4579330A
JP2015063779A,JP2000350790A
US2005220690A1,US6508996B2
US2007035711A1,US6341007B1
JP2017156398A,JP2013037115A
JP2017529904A,US8414606B2
JP2017201639A,JP2005122963A
CN105799276A,CN102126832A
CN102685257A,CN101519078A
CN103245611A,CN101893809A
JP2016017862A,JPH0666509A
JP2016045579A,JP2013186555A
JP2016156933A,US2003012538A1
CN106849376A,US2016181853A1
CN104018698A,CN202391183U
CN103203878A,JPH07195536A
EP0573042A1,US4885387A
US2015348331A1,US2004027312A1
US2012068201A1,US2011042659A1
CN102590539A,CN1624484A
CN103751796A,CN102229667A
CN103141660A,CN201449095U
CN103145975A,CN101544755A
JP2016539081A,JP2005320328A
JP2017207028A,JP2015078642A
CN103786848A,CN201587519U
CN102930441A,CN100591585C
CN103030277A,CN101475308A
JP2015116125A,JP2001037462A
JP2016133412A,JP2014038074A
CN104738672A,CN102894381A
CN105948052A,CN101712472A
CN102613525A,CN101690579A
CN103016104A,EP1460245A1
JP2016038467A,JP2014048459A
JP2016199432A,JP2006248829A
US2016174004A1,US2011135102A1
CN106427157A,CN204196407U
CN106719894A,CN104336093A
US2018067661A1,US2014129758A1
CN105837110A,CN104478371A
CN105910316A,CN202757337U
CN102456910A,CN101635372A
JP2016158577A,JP2010104301A
CN102787385A,CN101787583A
CN103090262A,US2011222267A1
JP2015169381A,JP2007292340A
US2006215413A1,US6657767B2
JP2017081625A,JP2015030524A
EP2985657A1,JP2010008644A
JP2016134332A,JP2013214378A
JPWO2015005462A1,JP2013509759A
CN104215440A,CN202853894U
JP2015045114A,JP2013139661A
JP2016515201A,US2011248887A1
US2015376420A1,US2010323103A1
US2018270416A1,US2002176004A1
CN104888301A,CN204072883U
CN104852999A,CN101764855A
CN106171655A,CN104186246A
CN104032207A,CN101962729A
EP1277748A1,EP0583171A2
JP2015154410A,JP2012080249A
US2015108950A1,US2012229078A1
EP3352107A1,WO02067449A2
CN103728770A,CN101162323A
CN104000451A,CN202891402U
CN102851635A,CN101704310A
JP2015524293A,JP2009261957A
JP2016512831A,JP2005519909A
US2005212706A1,US6535167B2
CN105446810A,CN103617062A
CN105801461A,CN101768099A
EP2860830A1,US2004165641A1
JP2015200778A,JP2003005160A
JP2016501162A,JP2003522509A
US2015096552A1,US2009217921A1
US2016272806A1,US2014080955A1
JP2017032394A,JP2012083257A
CN104555753A,CN101880009A
CN106018036A,CN103994727A
CN103555447A,CN101368136A
CN103762142A,CN102024649A
JP2015076728A,JP2007036406A
JP2016520219A,WO2012014810A1
JP2016512992A,JP2006524705A
JP2017008999A,JP2001346358A
US2015151835A1,US2012001018A1
JP2015054117A,JP2013146404A
JP2015072273A,US2012196314A1
US2013252198A1,US5503556A
CN105354460A,CN104052873A
CN105461511A,CN103864575A
CN103778699A,CN203084806U
US2008124145A1,US4242566A
JPWO2016125255A1,JP2013183571A
CN107150985A,CN105036007A
CN104774585A,CN102952518A
EP0774769A1,US4377773A
JP2015061991A,JP2013007516A
JP2015196275A,WO2013047501A1
US2008059667A1,US7219177B2
JP2017194398A,WO2008152836A1
CN105161134A,CN104464645A
CN104232006A,CN1978481A
CN102747595A,CN202099600U
JP2015076236A,JP2010198789A
JP2016172002A,JP2010051797A
US2014124650A1,US2011037869A1
US2014349458A1,US2011127610A1
JP2017537476A,JP2006190851A
CN104527985A,CN103301583A
CN105183509A,CN102236570A
JP2014136163A,US2012089131A1
JP2016169779A,JP2014206238A
US2004025004A1,US5535406A
US2008031508A1,US4705356A
CN106367891A,CN103818084A
JPWO2014136411A1,JP2010271292A
US2016097923A1,US4815832A
CN106622548A,CN205650290U
US2017334249A1,US2011192513A1
CN105131080A,CN103288953A
CN105136430A,CN102879181A
CN103602062A,CN101407630A
CN103908692A,CN103143050A
EP0843211A1,EP0600564A1
EP2184306A1,EP1721919A1
EP2281920A1,EP1119035A2
JP2014180345A,JP2012217652A
JP2015142251A,JP2013224000A
US2013244135A1,US2010015496A1
EP3133671A1,US2011294007A1
CN106487060A,CN105244950A
CN106947082A,EP2832767A1
CN102821671A,US2008207997A1
JP2016001709A,JP2009117681A
US2014192017A1,US2013285881A1
CN105183509A,CN102707781A
CN105394509A,CN104172393A
CN105662980A,CN104224685A
CN104029463A,CN202463143U
CN102675776A,CN101735529A
JP2015010045A,JP2004043321A
JP2015228268A,JP2005222273A
JP2016144559A,JPH0370513A
JP2016203814A,JP2007264714A
US2014114224A1,US2007160653A1
CN105312190A,CN103084299A
CN102863339A,CN1900047A
CN102894001A,CN102702839A
JP2015131746A,JP2012101301A
US2007226624A1,US2004085339A1
JP2017188998A,JP2010252461A
CN101999359A,CN101653135A
CN102111546A,JP2000224607A
JP2017036913A,JP2010151429A
JPWO2016067352A1,JP2012157098A
CN107150995A,CN106082106A
CN107394503A,CN106848754A
CN105062919A,CN104694443A
CN104231935A,CN103849283A
US2013128457A1,US7131731B2
CN105274836A,CN1734008A
CN103114706A,CN202265992U
JP2015194720A,WO2012176694A1
JP2016082175A,JP2005223263A
US2009287889A1,US6667926B1
CN105446910A,CN1848790A
CN105890200A,CN202547163U
CN102387714A,CN1988811A
CN103285730A,CN1935333A
JP2016042839A,JP2006333773A
JP2016115718A,WO2012020452A1
JP2017513631A,JP2007500549A
CN102288762A,CN1547021A
CN103008519A,CN201020510Y
US2008046361A2,US5893078A
US2010108788A1,JP2002211968A
EP0334761A1,EP0190928A2
EP1031901A1,US5732736A
EP1435410A1,US6387500B1
JP2014237819A,JPH09508172A
JP2015173258A,JP2010010405A
JP2016166852A,JP2003042838A
CN106654890A,CN205693205U
CN103960818A,CN101822445A
CN103948528A,CN103110537A
JP2015101199A,JP2012250673A
JP2016515820A,WO2011112945A2
JP2017021039A,JP2008504531A
CN106623283A,CN202052739U
CN106795627A,US2012241224A1
JP2018028777A,JPH1124940A
CN105851728A,CN103960659A
EP0618032A1,EP0460654A1
JP2017041594A,JP2014049479A
JP2017119283A,WO9726097A1
CN103468017A,CN102911127A
EP0767011A1,EP0359250A2
EP1452881A1,US5798638A
JP2015085568A,JP2010094809A
JP2016036290A,JP2013212075A
JP2016141113A,JP2004255839A
