id,battery_id,equipment_id,battery_charge_type_txt_id,eqlz_status_txt_id,charge_start_dt,charge_start_dt_tz_id,charge_start_dt_wall,charge_end_dt,charge_end_dt_tz_id,charge_end_dt_wall,charge_amp_hours,dischrg_start_dt,dischrg_start_dt_tz_id,dischrg_start_dt_wall,dischrg_start_bdi,dischrg_start_battery_volts,dischrg_end_dt,dischrg_end_dt_tz_id,dischrg_end_dt_wall,dischrg_end_bdi,dischrg_end_battery_volts,dischrg_amp_hours,dischrg_work_accum_sec,insert_dt
155710,146,NULL,CHN,NTEQL,41:20.0,142,41:20.0,08:34.0,142,08:34.0,430,17:02.0,142,17:02.0,100,55.5,48:47.0,142,48:47.0,66,50.8,286,9901,04:52.0
155711,262,NULL,CHN,EQL,39:59.0,142,39:59.0,27:47.0,142,27:47.0,3750.3,50:17.0,142,50:17.0,100,40.8,50:17.0,142,50:17.0,100,43.8,0,0,18:23.0
155716,150,NULL,CHN,NTEQL,04:34.0,142,04:34.0,13:38.0,142,13:38.0,525,47:38.0,142,47:38.0,100,41.7,47:38.0,142,47:38.0,100,44.3,0,0,00:47.0
155717,310,772,CHN,NTEQL,09:17.0,142,09:17.0,26:43.0,142,26:43.0,33,27:40.0,142,27:40.0,44,37.6,46:47.0,142,46:47.0,31,38.5,87.3,3697,51:34.0
155718,128,560,OPC,NTEQL,16:00.0,142,16:00.0,19:27.0,142,19:27.0,10.7,19:39.0,142,19:39.0,28,50,47:35.0,142,47:35.0,28,52.6,14.7,707,56:10.0
155719,128,NULL,OPC,NTEQL,47:35.0,142,47:35.0,18:54.0,142,18:54.0,325,19:12.0,142,19:12.0,66,53.3,19:12.0,142,19:12.0,66,55.4,0,0,05:52.0
155720,112,471,CHN,EQL,23:51.0,142,23:51.0,13:53.0,142,13:53.0,515.3,13:02.0,142,13:02.0,100,27.9,46:26.0,142,46:26.0,74,27.5,194.3,7437,15:20.0
155721,112,NULL,CHN,NTEQL,46:26.0,142,46:26.0,56:39.0,142,56:39.0,28,56:53.0,142,56:53.0,77,26.1,56:53.0,142,56:53.0,77,27.7,0,0,22:05.0
155722,267,705,CHN,EQL,38:39.0,142,38:39.0,02:55.0,142,02:55.0,106.3,05:20.0,142,05:20.0,100,41.7,09:05.0,142,09:05.0,8,38.8,661.3,15443,29:46.0
155723,310,NULL,CHN,NTEQL,46:47.0,142,46:47.0,07:26.0,142,07:26.0,621.3,22:06.0,142,22:06.0,100,41.7,22:06.0,142,22:06.0,100,40,0,0,31:23.0
155724,112,NULL,CHN,NTEQL,56:53.0,142,56:53.0,48:59.0,142,48:59.0,202.3,22:40.0,142,22:40.0,100,27.9,22:40.0,142,22:40.0,100,28,0,0,49:01.0
155726,91,388,CHN,EQL,26:59.0,142,26:59.0,50:17.0,142,50:17.0,193,14:12.0,142,14:12.0,100,41.6,42:42.0,142,42:42.0,30,39.1,580,28297,20:21.0
155727,261,765,CHN,NTEQL,24:20.0,142,24:20.0,25:37.0,142,25:37.0,507,30:46.0,142,30:46.0,100,41.4,40:49.0,142,40:49.0,37,39,545,15408,15:47.0
155728,116,592,CHN,NTEQL,18:12.0,142,18:12.0,53:31.0,142,53:31.0,99,53:44.0,142,53:44.0,61,25.4,12:35.0,142,12:35.0,47,26.5,107,4410,21:43.0
155729,285,469,CHN,NTEQL,24:43.0,142,24:43.0,49:58.0,142,49:58.0,290.7,38:24.0,142,38:24.0,100,40.6,41:43.0,142,41:43.0,71,39.5,201.3,5803,15:06.0
155730,221,765,CHN,NTEQL,44:59.0,142,44:59.0,16:08.0,142,16:08.0,729.3,48:21.0,142,48:21.0,97,41.6,50:36.0,142,50:36.0,32,39.3,562.7,14929,45:14.0
155733,310,772,CHN,EQL,22:06.0,142,22:06.0,21:54.0,142,21:54.0,86,51:08.0,142,51:08.0,100,42.2,54:02.0,142,54:02.0,68,39.7,230.3,9857,20:04.0
155734,222,368,CHN,NTEQL,27:39.0,142,27:39.0,44:57.0,142,44:57.0,534.3,37:22.0,142,37:22.0,100,41.7,22:13.0,142,22:13.0,24,38.4,684.7,18550,24:23.0
155735,291,NULL,CHN,NTEQL,04:40.0,142,04:40.0,40:47.0,142,40:47.0,739,11:41.0,142,11:41.0,100,41.1,44:18.0,142,44:18.0,31,38.7,597,12865,00:35.0
155736,306,520,CHN,NTEQL,21:00.0,142,21:00.0,47:07.0,142,47:07.0,50.7,47:08.0,142,47:08.0,53,25.4,24:03.0,142,24:03.0,49,25.8,44,2026,00:57.0
155737,291,NULL,CHN,NTEQL,44:18.0,142,44:18.0,53:26.0,142,53:26.0,461.3,59:14.0,142,59:14.0,84,40.2,59:14.0,142,59:14.0,84,42.2,0,0,07:41.0
155738,306,NULL,CHN,NTEQL,24:03.0,142,24:03.0,56:20.0,142,56:20.0,489.7,02:53.0,142,02:53.0,100,27.9,02:53.0,142,02:53.0,100,26.9,0,0,35:34.0
155739,163,719,CHN,NTEQL,24:07.0,142,24:07.0,37:55.0,142,37:55.0,533.7,46:13.0,142,46:13.0,100,41.6,09:37.0,142,09:37.0,31,39.2,514.7,10957,37:06.0
155744,315,NULL,CHN,EQL,24:24.0,142,24:24.0,49:02.0,142,49:02.0,567.3,10:31.0,142,10:31.0,94,42.1,21:26.0,142,21:26.0,32,39.7,443,11928,49:07.0
155745,140,522,CHN,NTEQL,45:28.0,142,45:28.0,33:31.0,142,33:31.0,122,56:25.0,142,56:25.0,100,42.9,17:35.0,142,17:35.0,66,41.7,238.7,6728,50:35.0
155746,163,NULL,CHN,NTEQL,09:37.0,142,09:37.0,09:34.0,142,09:34.0,500.7,09:42.0,142,09:42.0,98,41.6,09:42.0,142,09:42.0,98,41.3,0,0,53:43.0
155747,140,NULL,CHN,NTEQL,17:35.0,142,17:35.0,29:59.0,142,29:59.0,39,30:14.0,142,30:14.0,72,39.9,30:14.0,142,30:14.0,72,42.1,0,0,56:54.0
155748,310,772,CHN,NTEQL,54:02.0,142,54:02.0,19:08.0,142,19:08.0,47.7,19:44.0,142,19:44.0,74,39.9,43:36.0,142,43:36.0,63,39.5,79.3,3896,05:59.0
155749,293,452,CHN,NTEQL,30:09.0,142,30:09.0,39:07.0,142,39:07.0,622.3,19:20.0,142,19:20.0,100,41.2,50:51.0,142,50:51.0,44,38.9,537.3,12793,18:01.0
155750,315,NULL,CHN,NTEQL,21:26.0,142,21:26.0,11:18.0,142,11:18.0,432.7,27:00.0,142,27:00.0,90,42,45:37.0,142,45:37.0,8,39.1,677.3,19695,41:54.0
155751,140,NULL,CHN,NTEQL,30:14.0,142,30:14.0,53:32.0,142,53:32.0,282,04:26.0,142,04:26.0,100,42.5,04:26.0,142,04:26.0,100,41.2,0,0,46:08.0
155752,293,NULL,CHN,NTEQL,50:51.0,142,50:51.0,59:24.0,142,59:24.0,585.3,36:45.0,142,36:45.0,100,41.3,40:07.0,142,40:07.0,59,39,416.3,10269,02:31.0
155756,74,388,CHN,EQL,03:39.0,142,03:39.0,11:06.0,142,11:06.0,266.7,48:35.0,142,48:35.0,100,41,13:38.0,142,13:38.0,51,39.2,404.7,19912,49:40.0
155758,314,NULL,CHR,EQL,02:53.0,142,02:53.0,56:09.0,142,56:09.0,826.7,03:42.0,142,03:42.0,100,41.7,51:09.0,142,51:09.0,15,38.9,704.3,20866,52:39.0
155759,239,647,CHN,NTEQL,45:40.0,142,45:40.0,07:30.0,142,07:30.0,362,40:03.0,142,40:03.0,100,41.5,02:13.0,142,02:13.0,60,39.5,295.3,7090,44:51.0
155760,135,508,CHN,NTEQL,24:12.0,142,24:12.0,28:49.0,142,28:49.0,3.7,34:44.0,142,34:44.0,100,54.8,49:31.0,142,49:31.0,29,50.3,577,15691,05:27.0
155761,310,772,CHN,NTEQL,43:36.0,142,43:36.0,04:15.0,142,04:15.0,39.3,04:41.0,142,04:41.0,69,39.5,51:01.0,142,51:01.0,59,39.7,69.7,3512,10:46.0
155763,54,NULL,CHN,NTEQL,09:56.0,142,09:56.0,58:46.0,142,58:46.0,531,01:48.0,142,01:48.0,100,40,01:48.0,142,01:48.0,100,45,0,0,39:12.0
155764,254,529,CHN,NTEQL,07:38.0,142,07:38.0,59:52.0,142,59:52.0,757,56:32.0,142,56:32.0,100,40.9,59:06.0,142,59:06.0,20,38.4,661.3,21223,43:59.0
155765,135,NULL,CHN,NTEQL,49:31.0,142,49:31.0,42:37.0,142,42:37.0,630.7,52:56.0,142,52:56.0,100,54.6,19:16.0,142,19:16.0,56,51.8,401.7,15493,59:18.0
155766,54,NULL,CHN,EQL,01:48.0,142,01:48.0,04:29.0,142,04:29.0,137,18:36.0,142,18:36.0,100,39.3,51:33.0,142,51:33.0,44,35.7,401.7,15176,07:10.0
155767,73,582,CHN,NTEQL,28:43.0,142,28:43.0,15:52.0,142,15:52.0,299,14:41.0,142,14:41.0,38,37.2,35:45.0,142,35:45.0,10,37,247.3,7261,22:01.0
155768,135,NULL,CHN,NTEQL,19:16.0,142,19:16.0,22:17.0,142,22:17.0,440.7,57:56.0,142,57:56.0,100,54.6,57:56.0,142,57:56.0,100,57.9,0,0,12:00.0
155769,310,772,CHN,NTEQL,51:01.0,142,51:01.0,09:18.0,142,09:18.0,34.3,09:27.0,142,09:27.0,64,39.2,42:25.0,142,42:25.0,64,39.3,43,2017,54:59.0
155770,304,NULL,CHN,NTEQL,12:56.0,142,12:56.0,51:27.0,142,51:27.0,502,32:01.0,142,32:01.0,100,28,32:01.0,142,32:01.0,100,26.6,0,0,02:08.0
155771,262,453,CHN,EQL,50:17.0,142,50:17.0,14:02.0,142,14:02.0,221.7,58:45.0,142,58:45.0,100,40.8,40:06.0,142,40:06.0,49,39.7,415.7,13060,19:23.0
155772,231,368,CHN,NTEQL,04:33.0,142,04:33.0,00:04.0,142,00:04.0,721,38:43.0,142,38:43.0,100,9.3,35:51.0,142,35:51.0,16,9.6,732,18413,19:24.0
155773,310,772,CHN,NTEQL,42:25.0,142,42:25.0,54:06.0,142,54:06.0,21.7,54:41.0,142,54:41.0,67,39,57:03.0,142,57:03.0,58,39,66.3,2906,19:33.0
155776,116,592,CHN,NTEQL,12:35.0,142,12:35.0,03:55.0,142,03:55.0,276.7,04:24.0,142,04:24.0,84,26.6,23:50.0,142,23:50.0,52,26.5,239.7,14071,55:10.0
155777,231,NULL,CHN,NTEQL,35:51.0,142,35:51.0,08:19.0,142,08:19.0,786,38:53.0,142,38:53.0,100,13.7,29:34.0,142,29:34.0,10,8.4,787.3,20851,51:20.0
155778,112,471,CHN,EQL,22:40.0,142,22:40.0,22:24.0,142,22:24.0,85,13:27.0,142,13:27.0,100,28.1,20:13.0,142,20:13.0,56,26.1,327.7,13019,56:02.0
155780,310,772,CHN,NTEQL,57:03.0,142,57:03.0,17:27.0,142,17:27.0,38.7,17:43.0,142,17:43.0,63,38.8,09:41.0,142,09:41.0,63,39.2,27.3,1459,58:44.0
155781,235,691,CHN,NTEQL,26:00.0,142,26:00.0,11:36.0,142,11:36.0,24.7,18:14.0,142,18:14.0,94,42,29:58.0,142,29:58.0,9,38.9,607,13141,27:46.0
155782,116,592,CHN,NTEQL,23:50.0,142,23:50.0,54:15.0,142,54:15.0,85.7,54:16.0,142,54:16.0,64,23.2,26:43.0,142,26:43.0,48,26.5,114.3,4927,44:47.0
155783,310,772,CHN,NTEQL,09:41.0,142,09:41.0,57:26.0,142,57:26.0,91.3,58:07.0,142,58:07.0,76,39.4,52:02.0,142,52:02.0,68,39.3,58,2548,11:30.0
155784,226,727,CHN,NTEQL,07:30.0,142,07:30.0,31:37.0,142,31:37.0,474,42:23.0,142,42:23.0,100,42,34:25.0,142,34:25.0,24,39.1,569,11961,14:32.0
155785,261,678,CHN,NTEQL,40:49.0,142,40:49.0,34:57.0,142,34:57.0,538.3,13:24.0,142,13:24.0,99,41.1,20:17.0,142,20:17.0,32,39.2,534.3,18351,14:09.0
155786,310,772,CHN,NTEQL,52:02.0,142,52:02.0,09:29.0,142,09:29.0,33,09:51.0,142,09:51.0,72,39.2,07:41.0,142,07:41.0,64,39,57.7,2486,35:45.0
155787,260,765,CHN,NTEQL,55:26.0,142,55:26.0,01:17.0,142,01:17.0,785.7,56:42.0,142,56:42.0,100,41.3,41:05.0,142,41:05.0,43,39.8,496,11709,31:12.0
155788,310,772,CHN,NTEQL,07:41.0,142,07:41.0,34:29.0,142,34:29.0,51,34:39.0,142,34:39.0,71,39.1,52:55.0,142,52:55.0,71,39.1,50.3,2178,12:34.0
155789,267,719,CHN,NTEQL,09:05.0,142,09:05.0,50:38.0,142,50:38.0,639.3,23:03.0,142,23:03.0,92,41.3,41:33.0,142,41:33.0,15,38.8,550.3,11430,33:55.0
155790,310,772,CHN,NTEQL,52:55.0,142,52:55.0,11:43.0,142,11:43.0,35.3,11:53.0,142,11:53.0,76,39,22:33.0,142,22:33.0,76,39.7,11.3,533,44:36.0
155791,310,772,CHN,NTEQL,22:33.0,142,22:33.0,43:51.0,142,43:51.0,40.3,44:00.0,142,44:00.0,82,39.3,49:21.0,142,49:21.0,82,40.1,5,242,29:14.0
155792,310,772,CHN,NTEQL,49:21.0,142,49:21.0,28:21.0,142,28:21.0,74.3,28:42.0,142,28:42.0,92,40,40:55.0,142,40:55.0,82,39.5,76.3,2594,15:59.0
155794,310,772,CHN,NTEQL,40:55.0,142,40:55.0,15:07.0,142,15:07.0,65.3,15:12.0,142,15:12.0,91,39.8,34:59.0,142,34:59.0,91,40.3,17.3,745,01:22.0
155795,116,592,CHN,NTEQL,26:43.0,142,26:43.0,43:55.0,142,43:55.0,218.3,43:56.0,142,43:56.0,77,25.7,18:23.0,142,18:23.0,67,27.1,47,2173,16:05.0
155796,269,NULL,CHN,EQL,00:13.0,142,00:13.0,15:15.0,142,15:15.0,1106.3,59:08.0,142,59:08.0,100,41,59:08.0,142,59:08.0,100,45.2,0,0,06:27.0
155797,163,456,CHN,EQL,09:42.0,142,09:42.0,09:26.0,142,09:26.0,86,09:40.0,142,09:40.0,100,42.1,34:36.0,142,34:36.0,22,38.5,572,19344,21:08.0
155798,293,452,CHN,NTEQL,40:07.0,142,40:07.0,38:49.0,142,38:49.0,444,15:52.0,142,15:52.0,100,41.3,17:01.0,142,17:01.0,47,38.8,476,10566,25:59.0
155799,285,636,CHN,NTEQL,41:43.0,142,41:43.0,08:20.0,142,08:20.0,236.3,14:04.0,142,14:04.0,100,41.1,26:06.0,142,26:06.0,60,39.2,277.7,9048,38:03.0
155800,269,NULL,CHN,EQL,59:08.0,142,59:08.0,41:18.0,142,41:18.0,30,03:47.0,142,03:47.0,100,41.8,02:23.0,142,02:23.0,18,39,713,19649,40:51.0
155801,112,471,CHN,NTEQL,20:13.0,142,20:13.0,54:25.0,142,54:25.0,66.3,54:33.0,142,54:33.0,65,25.6,34:58.0,142,34:58.0,42,25.8,172.3,6418,51:29.0
155802,248,766,CHN,NTEQL,47:03.0,142,47:03.0,46:26.0,142,46:26.0,747.7,26:51.0,142,26:51.0,97,41.7,09:06.0,142,09:06.0,12,39.3,701.7,19735,55:05.0
155803,272,726,CHN,NTEQL,36:34.0,142,36:34.0,38:07.0,142,38:07.0,524.3,37:27.0,142,37:27.0,100,41.3,45:47.0,142,45:47.0,50,39.2,429,12290,09:00.0
155804,81,366,CHN,NTEQL,21:15.0,142,21:15.0,19:55.0,142,19:55.0,209.7,17:28.0,142,17:28.0,56,38.7,24:28.0,142,24:28.0,21,38.4,279.7,7367,16:17.0
