'ID,Serial No,Equipment Type,Location,Employee No.,Impact Date,Impact Time,Impact Timezone,AP,Type,X-Axis Threshold,X-Axis Captured,Y-Axis Threshold,Y-Axis Captured,Impulse Threshold,Impulse Captured,Locked,Lock Cleared Date,Lock Cleared Time,Lock Cleared Timezone,Acknowledged Date,Acknowledged Time,Acknowledged Timezone,Comments
714 M,39506,Scissor Lift,Celina,29043,9/21/2020,9:39:29 AM,EDT,*CEL Q60,High,7,10,7,5,,,,,,,,,,
714 M,39506,Scissor Lift,Celina,29043,9/21/2020,10:02:17 AM,EDT,AC4A679C04EC,High,7,14,7,7,,,,,,,,,,
714 M,39506,Scissor Lift,Celina,29043,9/21/2020,10:14:27 AM,EDT,AC4A679C04EC,High,7,12,7,6,,,,,,,,,,
305 I,10042925,SHR/SH,Celina,54201,9/2/2020,4:53:28 AM,EDT,*CEL SS70,High,7,5,7,11,7,16,,,,,9/2/2020,5:22:51 AM,EDT,No Comment
305 I,10042925,SHR/SH,Celina,53081,9/24/2020,1:43:07 PM,EDT,*CEL SS70,High,7,15,7,22,7,22,,,,,,,,
321 I,10060820,SHR/SH,Celina,2375,9/14/2020,7:06:08 AM,EDT,*CEL RR85,High,5,5,5,1,7,23,,,,,9/21/2020,12:44:31 PM,EDT,No Comment
321 I,10060820,SHR/SH,Celina,55963,9/14/2020,11:57:42 PM,EDT,*CEL RR85,High,5,3,5,5,7,25,,,,,9/21/2020,12:45:37 PM,EDT,No Comment
327 I,10145974,SHR/SH,Celina,28893,9/9/2020,3:06:43 PM,EDT,*CEL RR85,High,7,7,7,3,7,35,,,,,9/23/2020,7:45:42 PM,EDT,No Comment
366 I,6A325226,SHR/SH,Celina,28893,9/1/2020,5:59:57 PM,EDT,00A742B5A4FC,High,5,5,5,1,7,16,,,,,9/16/2020,6:47:13 PM,EDT,No Comment
366 I,6A325226,SHR/SH,Celina,28893,9/8/2020,4:17:10 PM,EDT,00A742B5A4FC,High,5,5,5,1,7,68,,,,,9/16/2020,6:47:16 PM,EDT,No Comment
369 F,10119761,SX,Celina,22978,9/11/2020,12:47:46 PM,EDT,Out of Range,High,7,8,7,3,,,,,,,9/11/2020,2:39:23 PM,EDT,I was towing this truck setting off alarm
409 F,10060815,TR 4500,Celina,55883,9/22/2020,2:05:35 PM,EDT,*CEL NN100,High,12,12,12,7,18,23,,,,,9/22/2020,3:00:02 PM,EDT,No Comment
409 F,10060815,TR 4500,Celina,29289,9/9/2020,7:51:56 AM,EDT,*CEL Q95,High,12,19,12,13,18,20,,,,,9/9/2020,8:32:04 AM,EDT,Went off coming out of trailer
409 F,10060815,TR 4500,Celina,62114,9/17/2020,7:35:00 AM,EDT,Out of Range,High,12,21,12,14,18,20,,,,,9/21/2020,12:46:18 PM,EDT,No Comment
409 F,10060815,TR 4500,Celina,52923,9/10/2020,7:01:15 PM,EDT,Out of Range,High,12,13,12,5,18,41,,,,,9/10/2020,7:39:20 PM,EDT,No Comment
420 F,10180138,TR 4500,Celina,28144,9/9/2020,2:11:41 PM,EDT,*CEL NN100,High,12,7,12,13,18,23,,,,,9/9/2020,2:14:05 PM,EDT,No Comment
511 M,9A135580,WAVE,Celina,38,9/1/2020,10:13:15 AM,EDT,*CEL W80,High,7,6,6,6,,,,,,,,,,
511 M,9A135580,WAVE,Celina,38,9/9/2020,9:56:16 AM,EDT,*CEL W80,High,7,7,6,2,,,,,,,9/11/2020,2:40:05 PM,EDT,bump into truck causing impact
511 M,9A135580,WAVE,Celina,38,9/14/2020,7:55:39 AM,EDT,*CEL W80,High,7,6,6,6,,,,,,,,,,
511 M,9A135580,WAVE,Celina,38,9/14/2020,7:58:18 AM,EDT,*CEL W80,High,7,6,6,7,,,,,,,9/14/2020,8:15:55 AM,EDT,John was going into a trailer when the alarm went off.
511 M,9A135580,WAVE,Celina,30274,9/22/2020,11:12:04 AM,EDT,707DB9468113,High,7,7,6,6,,,,,,,9/22/2020,11:19:56 AM,EDT,No Comment
927 O,5A369615,WP,Celina,55883,9/20/2020,8:27:28 AM,EDT,*CEL W80,High,10,10,10,2,,,,,,,9/20/2020,8:41:39 AM,EDT,"Jason had battery stuck on old battery changer and bumped into the rollers with the front of the battery changer, no damage. AB 9/20/2020"
242 O,1A503465,TSP,Ft. Loramie,17859,9/25/2020,7:46:07 AM,EDT,54A2742F4FE3,High,0,1,0,5,,,,,,,9/25/2020,11:16:50 AM,EDT,This alarm went off with just moving the forks.
242 O,1A503465,TSP,Ft. Loramie,23738,9/14/2020,10:11:27 AM,EDT,54A2742F4FE3,High,0,1,0,5,,,,,,,,,,
242 O,1A503465,TSP,Ft. Loramie,23738,9/16/2020,8:27:38 AM,EDT,54A2742F4FE3,High,0,1,0,5,,,,,,,,,,
242 O,1A503465,TSP,Ft. Loramie,23738,9/16/2020,12:03:04 PM,EDT,54A2742F4FE3,High,0,1,0,5,,,,,,,,,,
242 O,1A503465,TSP,Ft. Loramie,23738,9/16/2020,12:05:35 PM,EDT,54A2742F4FE3,High,0,1,0,6,,,,,,,,,,
109,10017462,PR,Greencastle,56021,9/21/2020,3:18:41 PM,EDT,Out of Range,High,7,13,7,4,10,12,,,,,,,,
109,10017462,PR,Greencastle,51350,9/15/2020,7:04:17 PM,EDT,ECBD1DAA9376,High,7,8,7,7,10,14,,,,,,,,
109,10017462,PR,Greencastle,51350,9/17/2020,5:56:03 PM,EDT,ECBD1DAA9376,High,7,7,7,8,10,20,,,,,,,,
109,10017462,PR,Greencastle,51350,9/24/2020,9:19:16 PM,EDT,ECBD1DA1DCC6,High,7,6,7,8,10,15,,,,,,,,
117,10073398,PR,Greencastle,10875,9/2/2020,12:23:36 PM,EDT,0062EC2D9F69,High,7,12,7,6,15,74,,,,,,,,
117,10073398,PR,Greencastle,10875,9/14/2020,10:17:28 AM,EDT,ECBD1DA1D949,High,7,6,7,8,15,30,,,,,,,,
117,10073398,PR,Greencastle,10875,9/14/2020,11:41:51 AM,EDT,ECBD1DA1D949,High,7,7,7,1,15,46,,,,,,,,
28,9A222219,FC,Greencastle Materials,57589,9/4/2020,9:22:57 AM,EDT,002A10461FC6,Low,4,4,4,4,,,,,,,9/4/2020,9:23:01 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,57589,9/4/2020,10:21:39 AM,EDT,ECBD1DA1D946,Low,4,4,4,5,,,,,,,9/4/2020,10:21:41 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,57589,9/4/2020,10:59:48 AM,EDT,E00EDAE4D036,Low,4,4,4,4,,,,,,,9/4/2020,10:59:50 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,57589,9/4/2020,11:16:59 AM,EDT,ECBD1DA1D946,Low,4,4,4,5,,,,,,,9/4/2020,11:17:06 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,57589,9/4/2020,1:16:42 PM,EDT,ECBD1DA1D946,Low,4,3,4,4,,,,,,,9/4/2020,1:16:44 PM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,51350,9/3/2020,9:19:21 PM,EDT,ECBD1DAA9376,Low,4,4,4,4,,,,,,,9/3/2020,9:19:19 PM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,51350,9/4/2020,8:53:14 PM,EDT,046273722D26,Low,4,3,4,4,,,,,,,9/4/2020,9:14:53 PM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/1/2020,8:49:24 AM,EDT,E00EDAE4D036,Low,4,4,4,5,,,,,,,9/1/2020,8:49:17 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/3/2020,8:37:49 AM,EDT,ECBD1DA1D946,Low,4,4,4,5,,,,,,,9/3/2020,8:37:48 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/3/2020,9:00:34 AM,EDT,E00EDAE4D036,Low,4,4,4,4,,,,,,,9/3/2020,9:00:30 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/3/2020,10:58:57 AM,EDT,ECBD1DA1D946,Low,4,6,4,6,,,,,,,9/3/2020,10:58:53 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/8/2020,7:34:31 AM,EDT,E00EDAE4D036,Low,4,3,4,4,,,,,,,9/8/2020,7:34:25 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/8/2020,10:33:10 AM,EDT,E00EDAE4D036,Low,4,4,4,4,,,,,,,9/8/2020,10:33:04 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/8/2020,11:19:09 AM,EDT,E00EDAE4D036,Low,4,5,4,5,,,,,,,9/8/2020,11:19:03 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/9/2020,8:44:44 AM,EDT,0062EC2D9F66,Low,4,4,4,4,,,,,,,9/9/2020,8:44:38 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/9/2020,9:10:27 AM,EDT,E00EDAE4D036,Low,4,4,4,4,,,,,,,9/9/2020,9:10:22 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/9/2020,10:28:14 AM,EDT,0062EC2D9F66,Low,4,4,4,4,,,,,,,9/9/2020,10:28:10 AM,EDT,Auto Acknowledged by System
28,9A222219,FC,Greencastle Materials,50567,9/9/2020,11:19:26 AM,EDT,0062EC2D9F66,High,10,9,10,10,,,,,,,,,,
28,9A222219,FC,Greencastle Materials,50567,9/25/2020,11:17:20 AM,EDT,0062EC2D9F66,Low,4,4,4,4,,,,,,,9/25/2020,11:17:18 AM,EDT,Auto Acknowledged by System
1,1A414314,RC5500,Greencastle Materials,51350,9/22/2020,8:11:07 PM,EDT,ECBD1DAA9376,High,6,11,6,3,18,23,,,,,,,,
22,1A557465,RC5500,Greencastle Materials,59990,9/9/2020,5:57:33 PM,EDT,0462737C92F6,High,6,3,6,6,18,0,,,,,,,,
22,1A557465,RC5500,Greencastle Materials,59990,9/22/2020,12:33:14 AM,EDT,E00EDAE4D0A6,High,6,6,6,7,18,0,,,,,,,,
22,1A557465,RC5500,Greencastle Materials,26090,9/15/2020,5:59:29 AM,EDT,046273722D26,High,6,3,6,6,18,0,,,,,,,,
121,10082583,TR 4500,Greencastle Materials,56662,9/17/2020,10:23:54 PM,EDT,GRN - 246C,High,8,8,8,3,27,30,,,,,,,,
G17 F,1A548131,SP,Greenville Warehouse,28973,9/4/2020,11:04:30 AM,EDT,A0935135EB4C,High,5,6,5,4,15,23,,,,,9/4/2020,11:12:21 AM,EDT,Joe hit a hole in floor
G17 F,1A548131,SP,Greenville Warehouse,57680,9/8/2020,4:53:47 AM,EDT,500F80CE24CC,High,5,6,5,5,15,17,,,,,9/8/2020,5:17:58 AM,EDT,No Comment
G21 F,1A560159,SP,Greenville Warehouse,59802,9/16/2020,7:29:38 AM,EDT,500F80D95683,High,5,5,5,2,15,20,Locked,9/16/2020,7:32:29 AM,EDT,9/16/2020,7:35:05 AM,EDT,No Comment
G22 F,1A560160,SP,Greenville Warehouse,60410,9/22/2020,5:11:39 AM,EDT,500F80D95683,High,5,11,5,4,15,17,Locked,9/22/2020,5:13:14 AM,EDT,9/22/2020,6:12:11 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,25048,9/8/2020,10:48:29 AM,EDT,A0935135E9AC,High,10,10,10,11,,,,,,,9/8/2020,11:09:02 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,54519,9/9/2020,9:00:42 AM,EDT,A093514330EC,High,10,11,10,13,,,,,,,,,,
G14 F,9A178238,WAVE,Greenville Warehouse,54519,9/9/2020,9:06:51 AM,EDT,A0935135EB4C,High,10,5,10,15,,,,,,,,,,
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/1/2020,4:15:07 PM,EDT,A0935135EB4C,High,10,8,10,14,,,,,,,9/2/2020,5:24:47 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/1/2020,4:21:25 PM,EDT,A0935135EB4C,High,10,5,10,11,,,,,,,9/2/2020,5:24:33 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/2/2020,8:53:05 AM,EDT,A0935135EB4C,High,10,6,10,10,,,,,,,9/2/2020,10:09:25 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/3/2020,8:17:31 AM,EDT,A0935135EB4C,High,10,8,10,14,,,,,,,9/3/2020,8:17:49 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/3/2020,9:03:23 AM,EDT,A0935135EB4C,High,10,12,10,15,,,,,,,9/3/2020,9:17:06 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/3/2020,9:06:25 AM,EDT,A0935135EB4C,High,10,15,10,22,,,,,,,9/3/2020,9:16:53 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/3/2020,11:13:21 AM,EDT,A0935135EB4C,High,10,11,10,16,,,,,,,9/3/2020,2:27:33 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/3/2020,1:32:18 PM,EDT,A0935135EB4C,High,10,9,10,12,,,,,,,9/3/2020,2:27:00 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,7:48:44 AM,EDT,A0935135EB4C,High,10,8,10,10,,,,,,,,,,
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,8:39:33 AM,EDT,500F80E05C0C,High,10,10,10,15,,,,,,,,,,
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,8:45:02 AM,EDT,A0935135EB4C,High,10,8,10,11,,,,,,,,,,
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,12:57:35 PM,EDT,706D156DBC83,High,10,9,10,11,,,,,,,9/8/2020,5:21:15 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,1:44:28 PM,EDT,A0935135EB4C,High,10,12,10,16,,,,,,,9/8/2020,5:21:01 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,5:05:13 PM,EDT,A0935135E9AC,High,10,8,10,12,,,,,,,9/8/2020,5:20:03 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/4/2020,5:24:06 PM,EDT,A0935135EB4C,High,10,9,10,13,,,,,,,9/8/2020,5:20:15 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/16/2020,2:59:28 PM,EDT,500F80D95683,High,10,11,10,13,,,,,,,9/16/2020,5:06:04 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/17/2020,11:11:43 AM,EDT,A0935135EB4C,High,10,7,10,15,,,,,,,9/17/2020,11:24:37 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/22/2020,4:24:16 PM,EDT,A0935135EB4C,High,10,13,10,16,,,,,,,9/22/2020,4:48:40 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23388,9/25/2020,2:59:21 PM,EDT,A0935135E9A3,High,10,8,10,11,,,,,,,9/26/2020,4:58:15 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23262,9/14/2020,3:28:04 PM,EDT,500F80D95683,High,10,7,10,10,,,,,,,,,,
G14 F,9A178238,WAVE,Greenville Warehouse,23262,9/15/2020,11:07:12 AM,EDT,500F80E05C0C,High,10,8,10,12,,,,,,,9/15/2020,11:11:25 AM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23262,9/17/2020,2:31:57 PM,EDT,500F80D95683,High,10,9,10,11,,,,,,,9/17/2020,2:34:07 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23262,9/17/2020,3:09:35 PM,EDT,A0935135E9A3,High,10,8,10,12,,,,,,,9/18/2020,3:48:51 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23262,9/17/2020,4:21:32 PM,EDT,A0935135E9AC,High,10,10,10,17,,,,,,,9/18/2020,3:48:19 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,23262,9/17/2020,4:21:42 PM,EDT,A0935135E9AC,High,10,13,10,17,,,,,,,9/18/2020,3:48:32 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,62490,9/10/2020,12:14:45 PM,EDT,500F80E05C0C,High,10,7,10,11,,,,,,,9/10/2020,1:19:46 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,62490,9/11/2020,10:43:02 AM,EDT,A093514330EC,High,10,5,10,10,,,,,,,9/11/2020,1:37:39 PM,EDT,No Comment
G14 F,9A178238,WAVE,Greenville Warehouse,62490,9/11/2020,11:11:07 AM,EDT,A0935135EB4C,High,10,12,10,15,,,,,,,9/11/2020,1:37:55 PM,EDT,No Comment
KNC-120413,6A318790,PE,Kinston,60282,9/16/2020,9:43:00 AM,EDT,64F69D700286,High,12,13,12,3,,,Locked,9/16/2020,9:44:59 AM,EDT,,,,
KNC-120413,6A318790,PE,Kinston,60282,9/16/2020,2:23:09 PM,EDT,F4CFE2EA8936,High,12,12,12,8,,,Locked,9/16/2020,2:23:35 PM,EDT,,,,
KNC-120413,6A318790,PE,Kinston,60282,9/23/2020,11:36:19 AM,EDT,64F69D642526,High,12,13,12,5,,,Locked,9/23/2020,11:42:06 AM,EDT,,,,
KNC-120413,6A318790,PE,Kinston,60282,9/23/2020,2:39:15 PM,EDT,64F69D700286,High,12,18,12,4,,,Locked,9/23/2020,2:39:47 PM,EDT,,,,
KNC-120413,6A318790,PE,Kinston,6030,9/18/2020,8:46:07 AM,EDT,64F69D521636,High,12,13,12,7,,,Locked,9/18/2020,8:46:21 AM,EDT,,,,
KNC-181640,1A545796,RC5500,Kinston,64164,9/24/2020,6:11:15 PM,EDT,Out of Range,High,5,5,5,6,14,0,,,,,9/25/2020,10:11:39 PM,EDT,No Comment
KNC-190077,1A548443,RC5500,Kinston,62537,9/3/2020,12:51:37 AM,EDT,F4CFE2EA8939,High,5,5,5,2,,,Locked,9/3/2020,12:53:25 AM,EDT,9/3/2020,5:44:59 AM,EDT,No Comment
KNC-190077,1A548443,RC5500,Kinston,62537,9/25/2020,12:55:01 AM,EDT,64F69D642529,High,5,6,5,4,,,Locked,9/25/2020,12:56:08 AM,EDT,,,,
KNC-190078,1A548444,RC5500,Kinston,60014,9/23/2020,10:20:06 PM,EDT,002A10467CD9,High,5,3,5,7,,,Locked,9/23/2020,10:26:44 PM,EDT,9/24/2020,4:48:32 PM,EDT,registered an impact while changing battery
KNC-191534,1A568165,RC5500,Kinston,55718,9/15/2020,7:37:22 PM,EDT,002A10467CD9,High,10,7,10,10,,,Locked,9/15/2020,7:39:25 PM,EDT,,,,
KNC-200835,1A581966,RC5500,Kinston,54627,9/8/2020,7:59:23 PM,EDT,F4CFE2CB0646,High,5,4,5,5,15,0,Locked,9/8/2020,8:22:04 PM,EDT,,,,
KNC-190042,1A547283,SP,Kinston,29436,9/3/2020,10:37:41 AM,EDT,002A10467CD9,High,5,5,5,3,10,19,Locked,9/3/2020,10:38:26 AM,EDT,,,,
KNC-191718,10180457,TR 4500,Kinston,55673,9/10/2020,7:31:46 AM,EDT,64F69D700286,High,15,12,15,15,,,Locked,9/10/2020,7:40:13 AM,EDT,9/16/2020,7:49:16 AM,EDT,Operator safe. No damage done to truck.
KNC-180524,1A533739,TSP,Kinston,60272,9/22/2020,3:31:39 PM,EDT,002A10467CD9,High,4,7,4,12,10,0,Locked,9/22/2020,3:36:11 PM,EDT,9/24/2020,4:50:28 PM,EDT,TSP malfunction
KNC-180524,1A533739,TSP,Kinston,6113,9/17/2020,7:35:36 AM,EDT,002A10467CD9,High,4,4,4,1,10,0,Locked,9/17/2020,7:37:57 AM,EDT,9/17/2020,2:43:40 PM,EDT,No Comment
KNC-180524,1A533739,TSP,Kinston,6113,9/21/2020,10:51:10 AM,EDT,002A10467CD9,High,4,4,4,2,10,2,Locked,9/21/2020,10:53:19 AM,EDT,9/21/2020,10:53:30 AM,EDT,locked out while turning around for no apparent reason.  2nd time
KNC-180524,1A533739,TSP,Kinston,59869,9/22/2020,5:14:16 AM,EDT,002A10467CD9,High,4,70,4,24,10,0,Locked,9/22/2020,5:18:59 AM,EDT,9/22/2020,2:37:08 PM,EDT,No Comment
KNC-180524,1A533739,TSP,Kinston,59869,9/22/2020,5:14:17 AM,EDT,002A10467CD9,High,4,8,4,6,10,0,Locked,9/22/2020,5:18:59 AM,EDT,9/22/2020,2:37:06 PM,EDT,No Comment
KNC-180524,1A533739,TSP,Kinston,59869,9/22/2020,5:14:26 AM,EDT,002A10467CD9,High,4,70,4,35,10,2,Locked,9/22/2020,5:18:59 AM,EDT,9/22/2020,2:37:02 PM,EDT,No Comment
KNC-180524,1A533739,TSP,Kinston,59869,9/22/2020,5:14:32 AM,EDT,002A10467CD9,High,4,54,4,0,10,0,Locked,9/22/2020,5:18:59 AM,EDT,9/22/2020,2:37:04 PM,EDT,No Comment
KNC-180524,1A533739,TSP,Kinston,59869,9/22/2020,5:14:33 AM,EDT,002A10467CD9,High,4,54,4,0,10,0,Locked,9/22/2020,5:18:59 AM,EDT,9/22/2020,2:37:01 PM,EDT,No Comment
KNC-180524,1A533739,TSP,Kinston,59869,9/22/2020,5:14:34 AM,EDT,002A10467CD9,High,4,54,4,0,10,0,Locked,9/22/2020,5:18:59 AM,EDT,9/22/2020,2:36:55 PM,EDT,bad impact sensor
KNC-180524,1A533739,TSP,Kinston,64164,9/10/2020,7:29:15 PM,EDT,002A10467CD9,High,4,44,4,3,10,0,Locked,9/10/2020,7:31:55 PM,EDT,,,,
KNC-180524,1A533739,TSP,Kinston,64164,9/10/2020,7:29:19 PM,EDT,002A10467CD9,High,4,5,4,0,10,0,Locked,9/10/2020,7:31:55 PM,EDT,,,,
KNC-180524,1A533739,TSP,Kinston,62013,9/22/2020,3:36:47 PM,EDT,002A10467CD9,High,4,4,4,3,10,0,Locked,9/22/2020,3:40:24 PM,EDT,9/24/2020,4:50:09 PM,EDT,TSP malfunction
KNC-180524,1A533739,TSP,Kinston,55188,9/22/2020,4:37:37 PM,EDT,002A10467CD9,High,4,6,4,6,10,0,Locked,9/22/2020,4:38:05 PM,EDT,9/24/2020,4:49:26 PM,EDT,Tsp showing impact again without any impacts
KNC-180524,1A533739,TSP,Kinston,54627,9/22/2020,4:30:56 PM,EDT,002A10467CD9,High,4,5,4,5,10,2,Locked,9/22/2020,4:35:01 PM,EDT,9/24/2020,4:49:44 PM,EDT,tsp malfunction
13,1A521875,RM6000,New Castle,53829,9/22/2020,1:33:46 PM,EDT,B4DE318A2AD9,Low,2,1,2,3,10,0,,,,,9/22/2020,1:33:58 PM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/1/2020,2:21:00 AM,EDT,00C88BC11A79,Low,2,0,2,2,10,0,,,,,9/1/2020,2:21:07 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/1/2020,2:29:13 AM,EDT,00C88BC11A79,Low,2,1,2,2,10,0,,,,,9/1/2020,2:29:18 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/1/2020,2:36:11 AM,EDT,00C88BC11A79,Low,2,1,2,2,10,0,,,,,9/1/2020,2:36:20 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,1:50:48 AM,EDT,B4DE318A2AD6,Low,2,1,2,2,10,0,,,,,9/2/2020,1:50:52 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,1:59:51 AM,EDT,B4DE318A2AD6,Low,2,1,2,2,10,0,,,,,9/2/2020,2:00:03 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,2:29:15 AM,EDT,00C88BC11A79,Low,2,0,2,2,10,0,,,,,9/2/2020,2:29:28 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,2:35:52 AM,EDT,00C88BC11A79,Low,2,1,2,3,10,0,,,,,9/2/2020,2:35:55 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,5:52:33 AM,EDT,005D73D62129,Low,2,1,2,2,10,0,,,,,9/2/2020,5:52:35 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,6:09:30 AM,EDT,00C88BC11A79,Low,2,1,2,3,10,0,,,,,9/2/2020,6:09:35 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/2/2020,6:45:33 AM,EDT,00C88BC11A79,Low,2,1,2,2,10,0,,,,,9/2/2020,6:45:43 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/3/2020,1:36:03 AM,EDT,00C88BC11A79,Low,2,1,2,2,10,0,,,,,9/3/2020,1:36:06 AM,EDT,Auto Acknowledged by System
13,1A521875,RM6000,New Castle,64161,9/3/2020,1:55:40 AM,EDT,00C88BC11A79,Low,2,1,2,2,10,0,,,,,9/3/2020,1:55:43 AM,EDT,Auto Acknowledged by System
